model,precision_fraud,recall_fraud,false_positives,false_negatives,roc_auc,pr_auc
Logistic Regression,0.01,0.97,14873,6,0.9883667989614396,0.4298587082566264
Random Forest,0.77,0.98,67,5,0.9971008543091776,0.984208005805978
