model,features,precision_fraud,recall_fraud,false_positives,false_negatives,roc_auc,pr_auc
Day 2 Random Forest,Transaction + rule features,0.77,0.98,67,5,0.997101,0.984208
Day 4 Random Forest + Graph,Transaction + rule + graph features,1.0,0.98,0,5,0.9970865650165122,0.9840967311418651
