model,roc_auc,pr_auc,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,training_seconds
xgboost_v2,0.9986450678512054,0.9971953403630373,0.9985007496251874,0.9940298507462687,0.9962602842183994,209044,1,4,666,18.21
random_forest_v2,0.9974023731946594,0.9970244621253934,1.0,0.9970149253731343,0.9985052316890882,209045,0,2,668,71.39
lightgbm_v2,0.9962055374066071,0.993080300376997,0.9895988112927192,0.9940298507462687,0.9918093819806404,209038,7,4,666,11.91
