model,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,training_seconds
xgboost_strict_v1,0.9869658946990967,0.9946282650704,0.7769631705083301,0.0014220240991562605,0.9518716577540107,0.5313432835820896,0.6819923371647509,209027,18,314,356,16.48
random_forest_strict_v1,0.6485595361954739,0.9811974926486939,0.6098146376770104,0.00394655634046132,0.9156626506024096,0.3402985074626866,0.4961915125136017,209024,21,442,228,73.01
lightgbm_strict_v1,1.0,0.9095565512388786,0.14647922600795257,0.007559845230795314,0.20492957746478874,0.4343283582089552,0.2784688995215311,207916,1129,379,291,13.15
