model,threshold,pr_auc,roc_auc,brier_score,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,training_seconds
logistic_regression,0.9992779312748965,0.40532675003710944,0.9671463796090465,0.09112658108950014,0.8805970149253731,0.1761194029850746,0.2935323383084577,209029,16,552,118,15.05
linear_discriminant_analysis,0.9999999999996811,0.21788811359315227,0.8943392356783852,0.007113205934948136,0.9125,0.10895522388059702,0.19466666666666665,209038,7,597,73,0.85
gaussian_naive_bayes,0.9999999999996874,0.146177937974357,0.7652410268016991,0.00976910736191181,0.46502057613168724,0.16865671641791044,0.2475355969331873,208915,130,557,113,0.37
