model,threshold,pr_auc,roc_auc,brier_score,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,training_seconds
xgboost_core_v1,0.994566798210144,0.3716453734169519,0.983041520602181,0.0021636835299432278,0.5689655172413793,0.3707865168539326,0.4489795918367347,209601,25,56,33,11.54
random_forest_core_v1,0.8733898650808062,0.2949701627829497,0.9536507607931385,0.004717265507010853,0.5581395348837209,0.2696629213483146,0.36363636363636365,209607,19,65,24,48.88
logistic_regression_core_v1,0.9992779312748965,0.1672216213528666,0.9449089480601996,0.10014698417477669,0.3333333333333333,0.19101123595505617,0.24285714285714285,209592,34,72,17,15.04
